@relation 'after changing values-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.supervised.instance.Resample-B0.0-S1-Z4.0-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,11,14,16,19'

@attribute Gender {Women,Men}
@attribute Season {Winter,All-Season,Summer}
@attribute Payment_Method {Card,UPI,Cash,'Net Banking'}
@attribute Customer_Type {New,Returning}
@attribute Selling_Price {Medium,Low,High}
@attribute Discount_Percentage {Moderate,Large,Small}
@attribute Quantity_Sold {Medium,Low,'Very Low',High}
@attribute Stock_Availability {Medium,High,Low}
@attribute Purchase_Frequency {Moderate,Frequent,Infrequent}
@attribute Store_Rating {Poor,Average,Excellent}
@attribute Markup {Medium,Low,High}
@attribute Sales_Category {'High Sales','Low Sales','Medium Sales'}

@data
Women,All-Season,UPI,Returning,Medium,Moderate,Medium,High,Infrequent,Excellent,Medium,'High Sales'
Men,All-Season,UPI,New,High,Small,Medium,High,Moderate,Average,Medium,'High Sales'
Women,Winter,Card,New,Medium,Moderate,Low,Medium,Moderate,Average,Medium,'High Sales'
Women,All-Season,Card,New,High,Large,Low,High,Moderate,Average,High,'High Sales'
Men,Winter,'Net Banking',New,Medium,Large,Medium,High,Moderate,Average,Medium,'High Sales'
Women,Winter,Cash,New,Medium,Moderate,'Very Low',High,Moderate,Excellent,Medium,'High Sales'
Women,All-Season,UPI,Returning,Medium,Moderate,High,Medium,Moderate,Poor,Medium,'High Sales'
Women,Summer,Cash,Returning,Medium,Moderate,Low,High,Moderate,Excellent,Medium,'High Sales'
Women,Summer,'Net Banking',Returning,Medium,Small,High,Medium,Moderate,Poor,Medium,'High Sales'
Men,All-Season,'Net Banking',Returning,Low,Moderate,Medium,Low,Moderate,Poor,Medium,'High Sales'
Women,Winter,'Net Banking',New,High,Large,'Very Low',Medium,Moderate,Excellent,Medium,'High Sales'
Women,Summer,UPI,Returning,Medium,Moderate,Medium,Medium,Moderate,Excellent,Medium,'High Sales'
Women,Winter,Cash,New,Medium,Large,'Very Low',High,Moderate,Poor,Medium,'High Sales'
Women,Winter,Cash,Returning,Medium,Small,'Very Low',Medium,Moderate,Average,Medium,'High Sales'
Women,Summer,Card,Returning,Medium,Large,Low,Low,Frequent,Excellent,Medium,'High Sales'
Women,All-Season,Card,Returning,Medium,Moderate,Medium,Medium,Moderate,Average,Medium,'High Sales'
Men,Winter,Cash,Returning,Medium,Large,High,High,Moderate,Poor,High,'High Sales'
Men,All-Season,UPI,Returning,Medium,Small,Medium,High,Moderate,Average,Medium,'High Sales'
Women,All-Season,'Net Banking',Returning,Medium,Moderate,Medium,Medium,Moderate,Poor,Medium,'High Sales'
Women,Winter,'Net Banking',Returning,Medium,Moderate,'Very Low',Medium,Moderate,Poor,Medium,'High Sales'
Women,All-Season,Cash,New,Medium,Small,Medium,High,Moderate,Poor,Medium,'High Sales'
Women,All-Season,'Net Banking',New,Medium,Moderate,'Very Low',Low,Moderate,Excellent,Medium,'High Sales'
Men,Summer,Cash,Returning,Medium,Small,'Very Low',Low,Moderate,Excellent,Medium,'High Sales'
Women,Summer,'Net Banking',New,Medium,Large,High,Low,Moderate,Average,Medium,'High Sales'
Women,Winter,Card,Returning,Medium,Moderate,Medium,Medium,Moderate,Average,Medium,'High Sales'
Women,All-Season,Card,Returning,High,Small,'Very Low',Medium,Moderate,Average,High,'High Sales'
Women,Winter,'Net Banking',New,Medium,Moderate,Low,Low,Moderate,Excellent,Medium,'High Sales'
Men,Winter,'Net Banking',Returning,Medium,Moderate,Medium,Low,Moderate,Excellent,Medium,'High Sales'
Women,Summer,Cash,New,Medium,Large,'Very Low',Medium,Moderate,Poor,Medium,'High Sales'
Women,All-Season,Card,Returning,Medium,Small,High,Medium,Infrequent,Poor,Medium,'High Sales'
Men,Summer,Card,Returning,Medium,Small,'Very Low',Medium,Moderate,Average,Medium,'High Sales'
Women,Summer,UPI,Returning,Medium,Small,High,High,Infrequent,Average,Medium,'High Sales'
Men,All-Season,Cash,New,Low,Moderate,'Very Low',Low,Moderate,Poor,Low,'High Sales'
Men,Winter,UPI,Returning,Medium,Moderate,High,High,Moderate,Poor,Medium,'High Sales'
Men,Winter,'Net Banking',Returning,Medium,Large,Medium,Medium,Moderate,Average,Medium,'High Sales'
Women,Summer,Cash,New,Low,Large,Low,High,Moderate,Poor,Low,'High Sales'
Women,Winter,'Net Banking',Returning,Medium,Large,Low,Low,Moderate,Average,Medium,'High Sales'
Men,All-Season,Cash,Returning,Medium,Small,Medium,Medium,Moderate,Excellent,Medium,'High Sales'
Men,All-Season,UPI,Returning,Medium,Moderate,Medium,Medium,Infrequent,Poor,Medium,'High Sales'
Men,Winter,UPI,New,Medium,Large,Medium,Medium,Moderate,Average,Medium,'High Sales'
Men,Summer,Card,New,Medium,Large,'Very Low',Medium,Moderate,Excellent,Medium,'High Sales'
Women,Winter,'Net Banking',New,High,Large,'Very Low',Medium,Moderate,Excellent,Medium,'High Sales'
Women,Winter,Card,Returning,Medium,Large,Medium,Low,Moderate,Average,High,'High Sales'
Women,Winter,'Net Banking',Returning,Medium,Moderate,'Very Low',Medium,Moderate,Excellent,Medium,'High Sales'
Men,All-Season,'Net Banking',New,Medium,Moderate,High,High,Moderate,Poor,Medium,'High Sales'
Men,Winter,Card,Returning,Medium,Large,Medium,Low,Moderate,Average,Medium,'High Sales'
Men,All-Season,UPI,New,Medium,Small,Low,Medium,Infrequent,Average,Low,'High Sales'
Women,All-Season,UPI,Returning,Medium,Moderate,Low,High,Frequent,Average,Medium,'High Sales'
Women,Summer,UPI,New,Medium,Large,High,High,Infrequent,Average,Medium,'High Sales'
Men,Winter,Card,New,Medium,Large,Medium,Medium,Moderate,Poor,Medium,'High Sales'
Women,Summer,Card,Returning,Medium,Large,Low,Low,Moderate,Average,Medium,'High Sales'
Women,Summer,Cash,Returning,Medium,Moderate,'Very Low',Medium,Moderate,Poor,Medium,'High Sales'
Men,Winter,'Net Banking',New,Medium,Moderate,Low,Medium,Frequent,Excellent,Medium,'High Sales'
Women,Summer,Card,New,Medium,Large,Medium,Low,Moderate,Average,Medium,'High Sales'
Men,All-Season,'Net Banking',Returning,Medium,Small,High,High,Infrequent,Average,Low,'High Sales'
Men,Summer,Card,New,Medium,Moderate,Low,Medium,Moderate,Poor,Medium,'High Sales'
Men,Summer,Cash,New,Medium,Small,Medium,Medium,Infrequent,Excellent,Medium,'High Sales'
Men,Winter,UPI,New,Medium,Large,Medium,High,Moderate,Excellent,Medium,'High Sales'
Men,Summer,Card,Returning,Medium,Moderate,High,High,Moderate,Poor,Medium,'High Sales'
Women,Winter,Cash,New,Medium,Large,Medium,High,Infrequent,Excellent,Medium,'High Sales'
Women,All-Season,Cash,New,Medium,Moderate,High,Medium,Moderate,Excellent,Medium,'High Sales'
Men,Winter,Cash,New,Medium,Moderate,'Very Low',Medium,Infrequent,Average,Medium,'High Sales'
Women,All-Season,UPI,Returning,High,Large,High,Low,Moderate,Average,High,'High Sales'
Men,Summer,Cash,Returning,Medium,Moderate,'Very Low',Medium,Moderate,Excellent,Medium,'High Sales'
Men,Winter,'Net Banking',New,Medium,Large,'Very Low',Low,Moderate,Poor,Medium,'High Sales'
Men,Summer,UPI,New,Medium,Moderate,High,Medium,Moderate,Average,Low,'High Sales'
Men,Summer,Cash,Returning,Medium,Small,'Very Low',High,Moderate,Average,Medium,'High Sales'
Women,All-Season,Cash,New,Medium,Small,'Very Low',Medium,Moderate,Poor,Medium,'High Sales'
Women,Summer,Cash,Returning,Medium,Large,High,Medium,Moderate,Average,Medium,'High Sales'
Women,All-Season,Cash,Returning,Medium,Moderate,High,High,Frequent,Average,Medium,'High Sales'
Women,Summer,Cash,New,Medium,Moderate,'Very Low',Medium,Moderate,Poor,Medium,'High Sales'
Women,Winter,'Net Banking',Returning,Medium,Moderate,Low,High,Moderate,Excellent,Medium,'High Sales'
Women,Winter,UPI,New,Medium,Large,'Very Low',Low,Moderate,Poor,Medium,'High Sales'
Women,Winter,Card,Returning,Medium,Moderate,'Very Low',High,Frequent,Poor,Medium,'High Sales'
Men,Winter,UPI,New,Medium,Large,'Very Low',High,Moderate,Excellent,Medium,'High Sales'
Women,All-Season,UPI,New,Medium,Moderate,'Very Low',Medium,Moderate,Average,Medium,'High Sales'
Men,Summer,'Net Banking',New,Medium,Small,Medium,Low,Moderate,Excellent,Medium,'High Sales'
Women,All-Season,Card,New,Medium,Small,Low,Medium,Moderate,Poor,Medium,'High Sales'
Women,Summer,'Net Banking',New,Low,Large,'Very Low',Medium,Moderate,Average,Medium,'High Sales'
Men,Summer,Card,New,Medium,Moderate,Low,Medium,Moderate,Poor,Medium,'High Sales'
Men,Summer,UPI,New,High,Large,Low,Medium,Frequent,Poor,Medium,'High Sales'
Men,Winter,Cash,New,Medium,Small,'Very Low',High,Infrequent,Poor,High,'High Sales'
Men,Winter,Cash,New,Medium,Moderate,Medium,Low,Moderate,Excellent,Medium,'High Sales'
Women,Winter,Cash,Returning,Low,Large,'Very Low',Medium,Moderate,Poor,Medium,'High Sales'
Women,Summer,UPI,New,Medium,Small,Low,Low,Moderate,Average,Medium,'High Sales'
Men,Winter,Cash,New,Medium,Small,'Very Low',Low,Moderate,Average,Medium,'High Sales'
Women,Summer,Cash,Returning,Medium,Moderate,'Very Low',Medium,Moderate,Poor,Medium,'High Sales'
Women,Summer,'Net Banking',New,Medium,Moderate,Low,Medium,Moderate,Excellent,Medium,'High Sales'
Women,Winter,'Net Banking',Returning,Medium,Large,Low,High,Moderate,Average,Medium,'High Sales'
Men,All-Season,Card,Returning,Medium,Large,'Very Low',High,Moderate,Average,Medium,'High Sales'
Women,Summer,Card,New,Medium,Small,'Very Low',High,Frequent,Poor,Medium,'High Sales'
Women,Winter,Cash,New,Medium,Moderate,High,Low,Infrequent,Average,Medium,'High Sales'
Men,Winter,UPI,Returning,Medium,Moderate,'Very Low',Low,Moderate,Average,Medium,'High Sales'
Men,Summer,'Net Banking',New,Medium,Large,High,Medium,Moderate,Average,Medium,'High Sales'
Men,Winter,'Net Banking',Returning,High,Small,High,Low,Moderate,Excellent,High,'High Sales'
Women,All-Season,Card,Returning,Medium,Moderate,Low,Medium,Moderate,Excellent,Medium,'High Sales'
Women,All-Season,UPI,New,Medium,Small,Medium,High,Moderate,Average,Medium,'High Sales'
Women,All-Season,'Net Banking',Returning,Medium,Small,'Very Low',High,Moderate,Average,Medium,'High Sales'
Men,All-Season,'Net Banking',New,Medium,Moderate,Low,High,Moderate,Excellent,Medium,'High Sales'
Women,All-Season,Cash,New,Medium,Large,Low,Low,Infrequent,Poor,Medium,'High Sales'
Women,Winter,Cash,New,Medium,Large,High,High,Moderate,Average,Medium,'High Sales'
Men,Summer,UPI,Returning,Medium,Large,Low,Low,Moderate,Average,Medium,'High Sales'
Women,Winter,Card,New,Medium,Large,Medium,High,Moderate,Average,Medium,'High Sales'
Men,Summer,Card,New,Medium,Small,Medium,Low,Moderate,Excellent,Medium,'High Sales'
Women,Winter,UPI,Returning,Medium,Moderate,'Very Low',High,Moderate,Average,Medium,'High Sales'
Women,Winter,Cash,New,Medium,Moderate,Medium,High,Moderate,Poor,Medium,'High Sales'
Men,Winter,Cash,Returning,Medium,Moderate,'Very Low',High,Moderate,Average,Medium,'High Sales'
Women,Winter,UPI,Returning,Medium,Moderate,High,High,Moderate,Average,Medium,'High Sales'
Men,Winter,UPI,Returning,Medium,Small,High,Low,Moderate,Excellent,Medium,'High Sales'
Women,Winter,Cash,New,Medium,Moderate,Medium,High,Frequent,Average,Medium,'High Sales'
Men,Summer,UPI,Returning,Medium,Large,Low,High,Moderate,Average,Medium,'High Sales'
Men,All-Season,Card,Returning,Medium,Small,Medium,Medium,Frequent,Average,Medium,'High Sales'
Women,Summer,UPI,Returning,Medium,Small,High,Medium,Moderate,Excellent,Medium,'High Sales'
Women,Summer,UPI,New,Medium,Moderate,Medium,Low,Infrequent,Average,Medium,'High Sales'
Men,Winter,Card,Returning,Medium,Large,Low,Medium,Moderate,Poor,Medium,'High Sales'
Women,Winter,'Net Banking',Returning,Medium,Small,High,Low,Frequent,Poor,Medium,'High Sales'
Women,Summer,UPI,New,Medium,Large,Medium,High,Infrequent,Excellent,Medium,'High Sales'
Men,All-Season,Cash,Returning,Medium,Moderate,High,High,Moderate,Poor,Medium,'High Sales'
Men,Winter,'Net Banking',Returning,Medium,Moderate,High,Medium,Moderate,Average,Medium,'High Sales'
Women,Winter,'Net Banking',Returning,Medium,Small,Medium,Low,Infrequent,Poor,Medium,'High Sales'
Women,Summer,Cash,Returning,Medium,Small,Low,High,Moderate,Poor,Medium,'High Sales'
Women,All-Season,Cash,New,Medium,Large,High,Low,Moderate,Average,Medium,'High Sales'
Men,Winter,UPI,New,Medium,Moderate,'Very Low',High,Moderate,Average,Medium,'High Sales'
Men,All-Season,Card,New,Medium,Moderate,High,High,Moderate,Excellent,Medium,'High Sales'
Women,All-Season,Cash,Returning,Low,Small,Medium,Low,Moderate,Excellent,Medium,'High Sales'
Women,Winter,Cash,New,Medium,Small,High,Medium,Moderate,Average,Medium,'High Sales'
Men,Winter,Card,New,Medium,Small,'Very Low',High,Moderate,Average,Medium,'High Sales'
Men,All-Season,UPI,Returning,High,Moderate,High,Medium,Moderate,Poor,High,'High Sales'
Women,Summer,UPI,Returning,Medium,Moderate,High,Low,Moderate,Excellent,Medium,'High Sales'
Men,All-Season,Cash,Returning,Medium,Small,Medium,High,Infrequent,Average,Medium,'High Sales'
Men,Summer,Card,New,Medium,Large,Low,High,Moderate,Poor,Medium,'High Sales'
Men,All-Season,Cash,Returning,Medium,Small,'Very Low',Medium,Moderate,Excellent,Medium,'High Sales'
Men,All-Season,Card,Returning,Medium,Large,Medium,Medium,Frequent,Excellent,Medium,'High Sales'
Women,Winter,Card,New,Medium,Small,High,High,Moderate,Average,Medium,'High Sales'
Women,All-Season,'Net Banking',Returning,Medium,Small,'Very Low',High,Moderate,Excellent,Medium,'High Sales'
Men,Winter,UPI,Returning,Medium,Moderate,High,Medium,Moderate,Average,High,'High Sales'
Women,Winter,UPI,Returning,Low,Large,'Very Low',Medium,Moderate,Average,Low,'High Sales'
Men,All-Season,UPI,New,High,Moderate,Low,High,Infrequent,Excellent,Medium,'High Sales'
Women,Winter,'Net Banking',New,Medium,Large,Medium,Medium,Frequent,Excellent,Medium,'High Sales'
Women,Winter,'Net Banking',Returning,Medium,Small,High,High,Moderate,Poor,Medium,'High Sales'
Men,Winter,Card,New,Medium,Moderate,'Very Low',High,Moderate,Poor,Medium,'High Sales'
Women,All-Season,UPI,New,Low,Moderate,'Very Low',Low,Moderate,Average,Medium,'High Sales'
Women,All-Season,Card,New,Medium,Small,Low,High,Moderate,Poor,Medium,'High Sales'
Men,Winter,'Net Banking',Returning,Medium,Large,'Very Low',Medium,Moderate,Excellent,Medium,'High Sales'
Women,Winter,'Net Banking',New,Medium,Moderate,High,High,Moderate,Poor,Medium,'High Sales'
Men,Winter,Card,New,Medium,Large,High,Medium,Moderate,Poor,Medium,'High Sales'
Women,Summer,UPI,Returning,Medium,Small,High,High,Moderate,Excellent,Medium,'High Sales'
Men,All-Season,UPI,Returning,High,Large,High,Medium,Moderate,Excellent,Medium,'High Sales'
Women,All-Season,UPI,Returning,Low,Small,'Very Low',Low,Infrequent,Excellent,Low,'High Sales'
Women,All-Season,Cash,New,Medium,Moderate,'Very Low',Medium,Moderate,Poor,Medium,'High Sales'
Men,Summer,Card,Returning,Medium,Small,High,Medium,Moderate,Poor,Medium,'High Sales'
Men,Summer,UPI,New,Medium,Moderate,High,Low,Moderate,Poor,Medium,'High Sales'
Men,All-Season,Cash,New,Medium,Large,Low,Medium,Moderate,Average,Medium,'High Sales'
Men,All-Season,Card,Returning,Medium,Small,Medium,Medium,Moderate,Average,Low,'High Sales'
Men,Summer,UPI,Returning,Low,Moderate,Low,Low,Moderate,Average,Low,'High Sales'
Women,All-Season,Card,New,Medium,Large,'Very Low',High,Moderate,Average,Medium,'High Sales'
Men,All-Season,UPI,New,Medium,Large,Low,Low,Moderate,Excellent,Medium,'High Sales'
Women,Winter,'Net Banking',New,Medium,Large,High,Medium,Moderate,Average,Medium,'High Sales'
Men,All-Season,Cash,New,Medium,Small,Medium,High,Moderate,Excellent,Medium,'High Sales'
Women,Summer,Card,Returning,Medium,Moderate,Medium,Low,Moderate,Average,High,'High Sales'
Men,Winter,UPI,New,Medium,Small,Medium,Low,Moderate,Average,Medium,'High Sales'
Women,Winter,UPI,Returning,Low,Moderate,Medium,Low,Frequent,Excellent,Low,'High Sales'
Women,Winter,UPI,New,Medium,Moderate,High,Medium,Moderate,Excellent,Medium,'High Sales'
Men,All-Season,Card,New,Medium,Large,'Very Low',High,Moderate,Excellent,Low,'High Sales'
Men,All-Season,Cash,Returning,Medium,Large,Medium,High,Moderate,Excellent,Medium,'High Sales'
Men,Winter,'Net Banking',New,Low,Small,'Very Low',Medium,Moderate,Excellent,Medium,'High Sales'
Men,All-Season,UPI,New,Medium,Small,'Very Low',Low,Infrequent,Excellent,Low,'High Sales'
Men,All-Season,UPI,Returning,Medium,Large,'Very Low',Medium,Moderate,Excellent,Medium,'High Sales'
Men,Summer,Cash,Returning,Medium,Moderate,Medium,Medium,Moderate,Poor,Medium,'High Sales'
Men,Winter,'Net Banking',Returning,Medium,Small,Medium,High,Moderate,Average,Medium,'High Sales'
Men,All-Season,UPI,Returning,Medium,Large,High,Low,Moderate,Poor,Medium,'High Sales'
Men,All-Season,Card,Returning,Medium,Large,'Very Low',Low,Moderate,Poor,Medium,'High Sales'
Women,All-Season,Cash,Returning,Medium,Small,High,Medium,Moderate,Average,High,'High Sales'
Women,Summer,Card,New,Medium,Small,Low,Medium,Moderate,Poor,Medium,'High Sales'
Men,Winter,Cash,Returning,Low,Small,Low,Medium,Moderate,Average,Low,'High Sales'
Men,All-Season,UPI,New,Medium,Moderate,'Very Low',High,Moderate,Average,Medium,'High Sales'
Women,All-Season,'Net Banking',New,Medium,Large,Medium,High,Moderate,Excellent,Medium,'High Sales'
Men,Winter,Cash,New,Medium,Moderate,'Very Low',High,Moderate,Average,Medium,'High Sales'
Women,Winter,UPI,Returning,Medium,Large,Low,Low,Moderate,Excellent,Medium,'High Sales'
Men,All-Season,'Net Banking',New,Medium,Small,Low,Medium,Frequent,Average,Medium,'High Sales'
Men,All-Season,Cash,New,Medium,Moderate,'Very Low',Medium,Moderate,Average,Medium,'High Sales'
Men,All-Season,'Net Banking',Returning,Medium,Small,Low,Medium,Infrequent,Excellent,Medium,'High Sales'
Men,All-Season,Card,New,Medium,Small,Medium,Medium,Moderate,Average,Medium,'High Sales'
Women,Summer,Card,Returning,Medium,Large,Low,Medium,Moderate,Excellent,Medium,'High Sales'
Women,All-Season,UPI,Returning,Medium,Moderate,'Very Low',Medium,Moderate,Poor,Medium,'High Sales'
Women,All-Season,UPI,New,Medium,Small,'Very Low',Medium,Moderate,Average,Medium,'High Sales'
Women,Summer,'Net Banking',Returning,Medium,Small,'Very Low',High,Moderate,Poor,Medium,'High Sales'
Women,All-Season,Card,Returning,Medium,Large,High,High,Moderate,Poor,Medium,'High Sales'
Women,Winter,UPI,New,Medium,Moderate,Medium,High,Moderate,Excellent,Medium,'High Sales'
Men,All-Season,UPI,New,Medium,Small,'Very Low',Medium,Moderate,Excellent,Medium,'High Sales'
Men,Winter,Card,New,Medium,Moderate,High,High,Moderate,Poor,Medium,'High Sales'
Men,Winter,Card,New,Medium,Large,High,Medium,Moderate,Poor,Medium,'High Sales'
Men,Summer,'Net Banking',New,Medium,Moderate,Medium,High,Moderate,Excellent,Low,'High Sales'
Women,Winter,'Net Banking',Returning,Medium,Large,'Very Low',High,Moderate,Average,Medium,'High Sales'
Men,Winter,Card,New,Medium,Moderate,High,Low,Moderate,Average,Medium,'High Sales'
Men,All-Season,UPI,New,Medium,Large,'Very Low',High,Moderate,Excellent,Medium,'High Sales'
Men,All-Season,UPI,New,Medium,Moderate,'Very Low',High,Moderate,Poor,Medium,'High Sales'
Women,All-Season,Card,New,Medium,Large,Low,High,Moderate,Average,Medium,'High Sales'
Women,Winter,'Net Banking',Returning,Medium,Moderate,Medium,Low,Moderate,Average,Medium,'High Sales'
Men,All-Season,Cash,Returning,Medium,Moderate,Medium,Medium,Moderate,Excellent,Medium,'High Sales'
Men,Winter,UPI,Returning,High,Small,'Very Low',High,Moderate,Poor,Medium,'High Sales'
Women,Summer,Cash,Returning,Medium,Small,Medium,Medium,Moderate,Average,Medium,'High Sales'
Women,Winter,'Net Banking',New,Medium,Small,Low,Medium,Infrequent,Excellent,Medium,'High Sales'
Women,Summer,Cash,Returning,Medium,Small,Low,Low,Moderate,Excellent,Medium,'High Sales'
Women,All-Season,Card,New,Medium,Large,Medium,Low,Moderate,Excellent,Medium,'High Sales'
Men,Winter,'Net Banking',Returning,Medium,Small,High,Medium,Frequent,Poor,Medium,'High Sales'
Men,All-Season,Cash,New,Medium,Large,'Very Low',Low,Moderate,Excellent,Medium,'High Sales'
Women,Summer,UPI,New,Medium,Moderate,'Very Low',High,Moderate,Average,Medium,'High Sales'
Women,Summer,UPI,Returning,Medium,Large,Low,Medium,Moderate,Average,Medium,'High Sales'
Women,Winter,Cash,Returning,Medium,Moderate,Medium,High,Moderate,Average,Medium,'High Sales'
Women,Summer,UPI,New,Low,Small,Low,Low,Moderate,Average,Medium,'High Sales'
Men,Summer,UPI,New,Medium,Large,Low,High,Moderate,Excellent,Medium,'High Sales'
Men,Winter,Cash,Returning,Medium,Moderate,Medium,High,Moderate,Poor,Low,'High Sales'
Men,Summer,'Net Banking',Returning,Medium,Small,High,Low,Moderate,Poor,Medium,'High Sales'
Women,All-Season,Cash,New,High,Large,Medium,High,Moderate,Average,High,'High Sales'
Women,Summer,'Net Banking',Returning,Medium,Moderate,'Very Low',Medium,Moderate,Average,Medium,'High Sales'
Men,All-Season,Card,New,Medium,Small,Medium,High,Moderate,Poor,Medium,'High Sales'
Women,Summer,Cash,Returning,Medium,Moderate,'Very Low',Low,Moderate,Excellent,Medium,'High Sales'
Women,Winter,Card,Returning,Medium,Small,'Very Low',Medium,Moderate,Excellent,Medium,'High Sales'
Men,Summer,'Net Banking',New,Medium,Small,High,High,Moderate,Excellent,Medium,'High Sales'
Men,Summer,Cash,New,Low,Moderate,High,Low,Moderate,Average,Medium,'High Sales'
Men,Winter,UPI,New,Medium,Large,Low,Medium,Moderate,Average,Medium,'High Sales'
Men,Summer,UPI,New,Medium,Small,High,High,Infrequent,Average,Low,'High Sales'
Men,Winter,Card,Returning,Medium,Large,Medium,High,Moderate,Excellent,Medium,'High Sales'
Men,Summer,'Net Banking',New,Medium,Moderate,Low,High,Infrequent,Average,Medium,'High Sales'
Women,All-Season,Cash,New,Medium,Small,Medium,High,Moderate,Excellent,Medium,'High Sales'
Men,All-Season,Card,Returning,Medium,Large,Low,Medium,Moderate,Poor,Medium,'High Sales'
Men,Winter,Card,New,Medium,Large,Low,High,Moderate,Poor,Medium,'High Sales'
Women,Summer,'Net Banking',New,Medium,Moderate,Low,Medium,Moderate,Poor,Medium,'High Sales'
Women,Winter,Card,Returning,Medium,Moderate,'Very Low',Medium,Moderate,Excellent,Medium,'High Sales'
Women,Summer,'Net Banking',New,Medium,Large,Medium,Medium,Moderate,Excellent,Medium,'Low Sales'
Men,All-Season,UPI,Returning,Medium,Small,Medium,Medium,Moderate,Average,Medium,'Low Sales'
Women,Winter,'Net Banking',Returning,Medium,Moderate,High,Low,Infrequent,Poor,Medium,'Low Sales'
Men,All-Season,Cash,New,Medium,Moderate,High,High,Infrequent,Average,Medium,'Low Sales'
Men,Winter,'Net Banking',New,Medium,Moderate,Low,Medium,Moderate,Excellent,Medium,'Low Sales'
Women,Winter,Card,New,Medium,Moderate,Medium,Low,Moderate,Excellent,Medium,'Low Sales'
Women,Summer,Card,Returning,Medium,Moderate,High,High,Moderate,Average,Medium,'Low Sales'
Women,Summer,UPI,Returning,Medium,Moderate,High,Low,Moderate,Excellent,Medium,'Low Sales'
Men,All-Season,UPI,New,Medium,Small,High,High,Infrequent,Average,Medium,'Low Sales'
Women,Winter,Cash,New,Medium,Moderate,High,High,Moderate,Average,Medium,'Low Sales'
Men,Winter,Card,New,Medium,Moderate,'Very Low',High,Moderate,Average,Medium,'Low Sales'
Women,Winter,Cash,New,Medium,Moderate,Low,High,Moderate,Excellent,Medium,'Low Sales'
Women,All-Season,Card,New,Medium,Moderate,High,High,Moderate,Average,Medium,'Low Sales'
Men,Summer,UPI,Returning,Medium,Large,'Very Low',Low,Moderate,Average,Medium,'Low Sales'
Women,All-Season,'Net Banking',New,Medium,Large,High,Medium,Moderate,Excellent,Medium,'Low Sales'
Women,Winter,Cash,New,Medium,Moderate,High,Low,Moderate,Average,Medium,'Low Sales'
Men,Summer,Card,Returning,Medium,Large,High,Medium,Infrequent,Poor,Medium,'Low Sales'
Men,Winter,'Net Banking',Returning,Medium,Moderate,High,Low,Moderate,Average,Medium,'Low Sales'
Men,All-Season,Cash,New,High,Small,Medium,Low,Moderate,Average,Medium,'Low Sales'
Women,Winter,Cash,Returning,Medium,Large,High,High,Moderate,Poor,Medium,'Low Sales'
Women,Summer,'Net Banking',New,Low,Small,Medium,Low,Moderate,Poor,Medium,'Low Sales'
Men,Winter,Cash,Returning,Medium,Small,High,High,Moderate,Poor,Medium,'Low Sales'
Men,Winter,'Net Banking',New,Medium,Large,'Very Low',High,Infrequent,Average,Medium,'Low Sales'
Women,Summer,Cash,Returning,Medium,Large,Low,Medium,Moderate,Poor,Medium,'Low Sales'
Men,Winter,UPI,New,Medium,Moderate,High,Low,Moderate,Average,Medium,'Low Sales'
Men,Winter,Card,Returning,High,Moderate,'Very Low',Medium,Moderate,Average,Medium,'Low Sales'
Men,Summer,'Net Banking',Returning,High,Large,'Very Low',Low,Moderate,Poor,Medium,'Low Sales'
Women,Winter,'Net Banking',Returning,Medium,Moderate,'Very Low',Low,Moderate,Poor,Medium,'Low Sales'
Men,All-Season,'Net Banking',Returning,High,Small,'Very Low',Low,Moderate,Average,Medium,'Low Sales'
Men,All-Season,Card,Returning,Medium,Small,Low,Low,Moderate,Excellent,Medium,'Low Sales'
Men,Winter,Card,New,Medium,Small,High,Medium,Infrequent,Average,Medium,'Low Sales'
Men,Winter,Cash,Returning,Medium,Small,Medium,Medium,Moderate,Poor,Medium,'Low Sales'
Men,Summer,Card,Returning,Medium,Large,Medium,High,Moderate,Poor,Medium,'Low Sales'
Women,Summer,Card,New,Medium,Large,'Very Low',Low,Moderate,Excellent,Medium,'Low Sales'
Women,Summer,'Net Banking',New,Medium,Moderate,'Very Low',High,Moderate,Poor,Medium,'Low Sales'
Men,Summer,Cash,New,High,Small,'Very Low',High,Moderate,Excellent,High,'Low Sales'
Women,Winter,Cash,New,High,Small,'Very Low',High,Moderate,Poor,Medium,'Low Sales'
Men,Summer,Card,New,Medium,Large,'Very Low',High,Moderate,Average,Medium,'Low Sales'
Men,Summer,Cash,Returning,Medium,Small,High,High,Moderate,Poor,Medium,'Low Sales'
Men,All-Season,Cash,Returning,Medium,Small,'Very Low',High,Moderate,Poor,Medium,'Low Sales'
Men,Summer,Card,Returning,Medium,Moderate,High,High,Frequent,Average,Medium,'Low Sales'
Women,All-Season,UPI,Returning,Low,Moderate,'Very Low',Medium,Moderate,Excellent,Low,'Low Sales'
Women,Winter,'Net Banking',New,Medium,Moderate,High,Low,Moderate,Average,Medium,'Low Sales'
Men,Winter,Card,Returning,Medium,Moderate,Medium,Medium,Infrequent,Poor,Medium,'Low Sales'
Women,Winter,'Net Banking',New,Low,Small,Low,Low,Moderate,Excellent,Medium,'Low Sales'
Women,Winter,'Net Banking',Returning,Medium,Moderate,Medium,High,Moderate,Average,Medium,'Low Sales'
