@relation 'after changing values-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.supervised.instance.Resample-B0.0-S1-Z4.0-weka.filters.unsupervised.attribute.Remove-R4,8-10,12-13,17-18,20'

@attribute Product_Category {'Traditional Wear',Outerwear,Athleisure,Bottoms,Tops}
@attribute Brand {'Forever 21',Wrangler,Uniqlo,Reebok,Gucci,'Louis Vuitton','Calvin Klein',Zara,Diesel,Versace,Levi’s,Balenciaga,Puma,'Under Armour',Adidas,'Ralph Lauren',GAP,Nike,'Tommy Hilfiger',H&M}
@attribute Product_Name {Tops,Hoodie,Trousers,Skirt,T-Shirt,Leggings,Shorts,'Polo Shirt',Palazzo,Dress,Jeans,Saree,'Casual Shirt',Sweatshirt,'Formal Shirt',Jacket,Jumpsuit,Kurta,'Track Pants',Blazer}
@attribute Size {S,M,XXL,XL,L}
@attribute Color {White,Purple,Orange,Pink,Green,Blue,Black,Red,Yellow}
@attribute Season {Winter,All-Season,Summer}
@attribute Cost_Price {Medium,Low,High}
@attribute Total_Sales {Medium,High,'Very High',Low}
@attribute Stock_Availability {Medium,High,Low}
@attribute Customer_Age {Elder,Senior,Adult,Teen}
@attribute Return_Rate {High,Low,Medium}
@attribute Sales_Category {'High Sales','Low Sales','Medium Sales'}

@data
Outerwear,'Tommy Hilfiger',Jacket,L,Yellow,Summer,Medium,Medium,High,Senior,Low,'High Sales'
Bottoms,Uniqlo,Tops,L,Green,Summer,Medium,Medium,Medium,Senior,Medium,'High Sales'
Tops,Gucci,Blazer,XXL,Purple,Winter,Medium,Low,High,Teen,High,'High Sales'
Outerwear,Diesel,Jumpsuit,XXL,Blue,Winter,Medium,High,Medium,Elder,High,'High Sales'
Athleisure,Levi’s,'Polo Shirt',M,Orange,Summer,Medium,Medium,Low,Adult,High,'High Sales'
Outerwear,Uniqlo,Hoodie,L,Black,Winter,Medium,High,High,Teen,Medium,'High Sales'
Tops,'Tommy Hilfiger',Skirt,XXL,Black,Summer,Medium,High,High,Senior,High,'High Sales'
Tops,Wrangler,Sweatshirt,XXL,White,All-Season,Low,High,Medium,Senior,Low,'High Sales'
Athleisure,Zara,'Track Pants',XXL,White,Summer,Medium,High,Low,Adult,Medium,'High Sales'
'Traditional Wear',Nike,Kurta,XL,Purple,Winter,Medium,High,High,Senior,Medium,'High Sales'
'Traditional Wear',Reebok,Hoodie,XXL,Black,Summer,Medium,High,Low,Senior,Low,'High Sales'
Tops,'Louis Vuitton',Dress,S,White,All-Season,Medium,High,Medium,Senior,Medium,'High Sales'
Outerwear,Puma,'Polo Shirt',XL,Green,Winter,Medium,High,Medium,Elder,High,'High Sales'
Bottoms,'Calvin Klein',Palazzo,M,Green,All-Season,Medium,Medium,Low,Adult,Low,'High Sales'
Bottoms,Balenciaga,Skirt,S,Yellow,Summer,Medium,High,High,Senior,Medium,'High Sales'
Athleisure,'Calvin Klein',Dress,M,White,Summer,Medium,High,High,Senior,Low,'High Sales'
Tops,Diesel,Jeans,M,Red,Winter,Medium,Medium,High,Adult,High,'High Sales'
'Traditional Wear',Adidas,T-Shirt,XL,Pink,Summer,Medium,High,High,Senior,Low,'High Sales'
Outerwear,'Louis Vuitton',Leggings,L,Black,Winter,Medium,Medium,High,Teen,High,'High Sales'
Bottoms,Levi’s,Hoodie,L,White,Summer,Medium,Medium,Low,Elder,Low,'High Sales'
Outerwear,'Calvin Klein',Jumpsuit,S,Yellow,Winter,Medium,Medium,High,Adult,Low,'High Sales'
Tops,Diesel,Dress,M,Green,Winter,Medium,Medium,Medium,Teen,Low,'High Sales'
Athleisure,Wrangler,'Track Pants',S,Pink,Winter,Medium,High,Low,Senior,High,'High Sales'
Athleisure,Puma,Sweatshirt,S,Blue,Summer,Medium,High,Low,Elder,Medium,'High Sales'
Outerwear,'Ralph Lauren',Hoodie,L,Yellow,All-Season,Medium,Medium,Medium,Teen,High,'High Sales'
'Traditional Wear',Nike,T-Shirt,M,Green,Winter,Medium,Low,Low,Senior,Low,'High Sales'
Tops,Wrangler,Jumpsuit,L,Black,All-Season,Medium,Medium,High,Elder,Medium,'High Sales'
'Traditional Wear',Puma,Hoodie,XXL,Blue,Winter,Low,Medium,High,Adult,Medium,'High Sales'
Bottoms,'Under Armour',Skirt,S,Orange,All-Season,Medium,High,Low,Teen,High,'High Sales'
Athleisure,Reebok,Palazzo,XXL,White,Summer,Low,Medium,Low,Senior,Low,'High Sales'
Outerwear,Levi’s,Blazer,XXL,White,Summer,Medium,Medium,Low,Teen,High,'High Sales'
'Traditional Wear','Under Armour',Trousers,S,Orange,All-Season,Medium,Medium,Low,Adult,High,'High Sales'
Tops,Gucci,Shorts,L,Green,Summer,Medium,Medium,Medium,Adult,High,'High Sales'
Athleisure,Adidas,Dress,L,Red,Winter,Medium,Medium,High,Adult,Low,'High Sales'
'Traditional Wear',Levi’s,'Polo Shirt',S,Green,Summer,Medium,Medium,High,Teen,Low,'High Sales'
Bottoms,Zara,'Polo Shirt',M,Purple,Summer,Low,High,Low,Teen,Low,'High Sales'
'Traditional Wear',Diesel,Hoodie,M,Black,Winter,Medium,Medium,High,Teen,Low,'High Sales'
'Traditional Wear',Uniqlo,'Casual Shirt',M,Red,Winter,Medium,Medium,Low,Senior,Low,'High Sales'
Athleisure,Wrangler,T-Shirt,L,Blue,All-Season,Medium,High,High,Teen,High,'High Sales'
Outerwear,Adidas,Jumpsuit,XL,White,All-Season,Medium,High,Medium,Senior,Low,'High Sales'
Tops,'Louis Vuitton',Dress,M,Black,All-Season,Medium,Medium,Low,Senior,Medium,'High Sales'
Bottoms,Gucci,Jeans,L,Black,All-Season,Medium,Medium,Medium,Adult,High,'High Sales'
Athleisure,Balenciaga,Hoodie,XL,Blue,Winter,Low,High,Medium,Adult,Medium,'High Sales'
'Traditional Wear',Puma,Palazzo,M,Green,All-Season,Medium,Medium,Low,Teen,High,'High Sales'
Tops,Reebok,Trousers,S,Orange,All-Season,Medium,High,Low,Elder,High,'High Sales'
Athleisure,Wrangler,Jacket,M,Purple,Summer,Medium,High,Low,Senior,Low,'High Sales'
Bottoms,'Tommy Hilfiger',Skirt,XL,Purple,Summer,Medium,High,Medium,Senior,Medium,'High Sales'
Tops,Nike,'Formal Shirt',XL,Purple,Winter,High,Medium,Low,Teen,Low,'High Sales'
Bottoms,Gucci,Jumpsuit,L,Yellow,Summer,High,Medium,Medium,Adult,Medium,'High Sales'
'Traditional Wear',H&M,Dress,M,Blue,Winter,Medium,Medium,Low,Teen,High,'High Sales'
Outerwear,Levi’s,T-Shirt,L,Purple,Winter,Medium,High,Low,Elder,Medium,'High Sales'
Outerwear,H&M,Trousers,XXL,Yellow,Summer,Medium,High,Low,Elder,Low,'High Sales'
Tops,Wrangler,Hoodie,L,Pink,Summer,Medium,High,High,Adult,Medium,'High Sales'
Outerwear,Gucci,'Casual Shirt',XL,Red,Summer,Medium,High,High,Senior,Low,'High Sales'
Outerwear,Versace,Tops,S,Red,Winter,Medium,High,Low,Adult,Medium,'High Sales'
'Traditional Wear',Gucci,Trousers,XXL,Orange,Summer,Low,Medium,Medium,Elder,High,'High Sales'
'Traditional Wear','Forever 21','Casual Shirt',XXL,White,Summer,Low,Medium,High,Elder,Medium,'High Sales'
Tops,Zara,Dress,S,White,Summer,Medium,High,Low,Senior,Low,'High Sales'
Bottoms,Reebok,Leggings,XXL,Black,Winter,Medium,Medium,High,Elder,Low,'High Sales'
Bottoms,Adidas,Hoodie,XXL,Purple,Winter,Medium,Medium,Low,Adult,High,'High Sales'
Tops,Diesel,'Polo Shirt',S,Blue,Summer,Medium,Medium,High,Elder,High,'High Sales'
Athleisure,Reebok,Palazzo,XL,White,All-Season,Medium,High,High,Teen,High,'High Sales'
'Traditional Wear',Wrangler,'Polo Shirt',M,Blue,Winter,Medium,High,Low,Adult,Medium,'High Sales'
Bottoms,Uniqlo,Sweatshirt,L,Green,Summer,Low,Medium,Medium,Elder,High,'High Sales'
Athleisure,Uniqlo,Hoodie,XXL,Green,Winter,Medium,Medium,High,Adult,Low,'High Sales'
'Traditional Wear',Uniqlo,Sweatshirt,M,Orange,Winter,Medium,Medium,Medium,Adult,Low,'High Sales'
Outerwear,Versace,'Formal Shirt',XL,Blue,Winter,Low,Medium,Low,Teen,Medium,'High Sales'
Tops,GAP,Saree,XXL,White,Winter,Medium,Medium,Medium,Senior,High,'High Sales'
Tops,'Ralph Lauren',Blazer,XXL,Orange,All-Season,Medium,Medium,High,Adult,Low,'High Sales'
Outerwear,Puma,Hoodie,S,Blue,Winter,Medium,Medium,High,Adult,Low,'High Sales'
Bottoms,Uniqlo,'Track Pants',XXL,Yellow,Winter,Medium,Medium,High,Elder,Low,'High Sales'
Bottoms,Reebok,Jumpsuit,XXL,Pink,Summer,Medium,High,High,Senior,Medium,'High Sales'
Bottoms,Wrangler,Palazzo,S,Red,Winter,Medium,Medium,High,Teen,Low,'High Sales'
'Traditional Wear','Forever 21',Tops,XL,Black,Summer,Medium,Medium,High,Adult,Medium,'High Sales'
Bottoms,'Calvin Klein',Sweatshirt,L,Yellow,Summer,High,High,Low,Adult,Medium,'High Sales'
Outerwear,'Ralph Lauren','Formal Shirt',XXL,Red,All-Season,Medium,High,High,Adult,Low,'High Sales'
Tops,'Tommy Hilfiger',T-Shirt,L,Red,All-Season,High,Medium,High,Teen,Low,'High Sales'
Athleisure,Nike,Jumpsuit,S,Yellow,Winter,Medium,Medium,High,Adult,High,'High Sales'
Outerwear,GAP,Skirt,M,Blue,Winter,Medium,High,Medium,Senior,Low,'High Sales'
Bottoms,Levi’s,Shorts,XL,Orange,Winter,Medium,High,Low,Senior,Low,'High Sales'
Bottoms,'Tommy Hilfiger',Palazzo,M,Green,Summer,Medium,High,High,Senior,High,'High Sales'
Bottoms,Zara,'Casual Shirt',M,Black,Winter,High,High,Low,Senior,Medium,'High Sales'
Outerwear,Nike,Hoodie,XL,Purple,Summer,Medium,Medium,High,Adult,Medium,'High Sales'
'Traditional Wear',Uniqlo,'Track Pants',M,Black,All-Season,Medium,Medium,Low,Adult,Low,'High Sales'
'Traditional Wear',Levi’s,Shorts,M,Blue,All-Season,Medium,High,Medium,Senior,Low,'High Sales'
Outerwear,Gucci,Palazzo,XXL,White,Winter,Medium,Medium,Medium,Teen,High,'High Sales'
Tops,Balenciaga,Shorts,S,Orange,All-Season,Medium,Medium,Low,Senior,High,'High Sales'
Bottoms,Gucci,Kurta,S,Red,All-Season,Medium,High,Medium,Adult,Low,'High Sales'
Athleisure,Wrangler,T-Shirt,S,Yellow,Winter,Low,High,Medium,Adult,Medium,'High Sales'
Tops,Versace,Saree,XL,Black,All-Season,Medium,High,High,Elder,Low,'High Sales'
Athleisure,'Calvin Klein',Jeans,M,Orange,Winter,Medium,Medium,Low,Senior,High,'High Sales'
'Traditional Wear',Reebok,Shorts,XL,Black,Summer,Low,Medium,Medium,Teen,High,'High Sales'
'Traditional Wear','Tommy Hilfiger',Sweatshirt,XXL,Green,Winter,Medium,Low,Medium,Senior,High,'High Sales'
Outerwear,Zara,'Polo Shirt',M,White,All-Season,Medium,High,Medium,Senior,High,'High Sales'
Bottoms,H&M,'Track Pants',XL,White,Summer,Medium,Medium,High,Senior,High,'High Sales'
Outerwear,'Calvin Klein',Leggings,L,Orange,Winter,Medium,Medium,Medium,Senior,High,'High Sales'
'Traditional Wear','Under Armour',Blazer,XL,White,Summer,Medium,High,High,Elder,High,'High Sales'
Outerwear,Gucci,Jumpsuit,M,Yellow,All-Season,Medium,High,High,Senior,High,'High Sales'
Outerwear,Adidas,Trousers,M,Green,Winter,Medium,High,Medium,Teen,High,'High Sales'
Bottoms,'Forever 21','Polo Shirt',M,Red,Winter,Medium,High,High,Teen,Low,'High Sales'
Athleisure,Diesel,Jumpsuit,L,White,Winter,Low,High,Medium,Adult,High,'High Sales'
Tops,Levi’s,Trousers,XXL,Yellow,Summer,Medium,High,Medium,Teen,Medium,'High Sales'
Outerwear,Wrangler,Hoodie,XL,Red,Winter,Medium,Medium,High,Teen,High,'High Sales'
Bottoms,'Forever 21',Tops,M,Red,Winter,Medium,High,Medium,Adult,High,'High Sales'
Athleisure,Reebok,Dress,XL,Yellow,All-Season,Medium,Medium,Medium,Adult,Low,'High Sales'
Bottoms,Versace,'Track Pants',L,Purple,All-Season,Medium,High,Low,Senior,Low,'High Sales'
Outerwear,Gucci,'Casual Shirt',XL,Pink,Winter,Medium,High,High,Teen,Medium,'High Sales'
Bottoms,Levi’s,Palazzo,M,Orange,All-Season,Medium,Medium,Medium,Senior,High,'High Sales'
'Traditional Wear',Uniqlo,Dress,XXL,White,Summer,High,Medium,Medium,Elder,Medium,'High Sales'
Bottoms,Zara,Shorts,M,Orange,Summer,High,Medium,High,Adult,High,'High Sales'
Tops,'Louis Vuitton',Palazzo,XL,Purple,All-Season,Medium,Medium,Medium,Teen,Low,'High Sales'
Outerwear,Gucci,'Track Pants',XL,Orange,Winter,Medium,Medium,Low,Adult,High,'High Sales'
Outerwear,Adidas,'Track Pants',M,Green,Winter,Medium,Medium,High,Teen,Low,'High Sales'
Athleisure,'Forever 21',Jacket,L,Green,All-Season,Medium,Medium,Low,Adult,High,'High Sales'
Outerwear,Versace,Shorts,XL,Yellow,Summer,Medium,Medium,High,Adult,High,'High Sales'
Outerwear,'Calvin Klein','Casual Shirt',S,Black,Summer,Low,Medium,Medium,Teen,Medium,'High Sales'
Bottoms,'Tommy Hilfiger','Track Pants',S,White,Winter,Medium,High,Medium,Teen,High,'High Sales'
Outerwear,Gucci,Skirt,S,Blue,Winter,Low,Medium,Low,Adult,Medium,'High Sales'
Bottoms,'Under Armour',Jeans,M,Black,Summer,Medium,High,Medium,Senior,Low,'High Sales'
'Traditional Wear','Ralph Lauren',Sweatshirt,XXL,White,Winter,Medium,Medium,High,Senior,High,'High Sales'
'Traditional Wear','Tommy Hilfiger',Leggings,XL,Yellow,Winter,Medium,High,Medium,Teen,High,'High Sales'
Outerwear,Diesel,Tops,XXL,Yellow,All-Season,Medium,Medium,High,Elder,Low,'High Sales'
Outerwear,Wrangler,Sweatshirt,S,Green,Winter,Medium,High,High,Adult,Medium,'High Sales'
Outerwear,Versace,Leggings,XL,Red,Summer,Medium,Medium,Medium,Teen,High,'High Sales'
Tops,'Forever 21',Trousers,XXL,Purple,All-Season,Medium,Medium,Low,Elder,Medium,'High Sales'
Bottoms,Versace,Jacket,XL,Purple,Winter,Medium,High,Low,Teen,High,'High Sales'
Bottoms,Reebok,Skirt,S,Black,Winter,Low,Medium,Medium,Elder,High,'High Sales'
Bottoms,Nike,T-Shirt,L,Orange,All-Season,Medium,High,Medium,Senior,Medium,'High Sales'
Tops,'Louis Vuitton',Kurta,M,Yellow,Summer,Medium,Medium,Low,Adult,Low,'High Sales'
Bottoms,Gucci,Jumpsuit,L,Yellow,Summer,High,Medium,Medium,Adult,Medium,'High Sales'
'Traditional Wear',Versace,'Track Pants',S,Green,Winter,Medium,High,Medium,Senior,High,'High Sales'
Outerwear,'Tommy Hilfiger',Saree,S,Purple,Winter,Medium,Medium,High,Adult,High,'High Sales'
Bottoms,Uniqlo,Skirt,S,Orange,Winter,Medium,Medium,Low,Adult,Low,'High Sales'
'Traditional Wear',Levi’s,'Casual Shirt',XXL,Yellow,Winter,Medium,High,Low,Senior,High,'High Sales'
'Traditional Wear',Zara,Trousers,XXL,White,Winter,Low,Medium,Low,Elder,High,'High Sales'
Athleisure,Gucci,Dress,L,Red,Summer,Medium,Medium,Medium,Adult,High,'High Sales'
Outerwear,Gucci,Tops,L,Purple,All-Season,Low,High,Medium,Teen,Medium,'High Sales'
Athleisure,Diesel,Sweatshirt,L,Yellow,Winter,Medium,High,Low,Elder,High,'High Sales'
Bottoms,'Under Armour',Dress,L,Orange,All-Season,Medium,Medium,Medium,Adult,High,'High Sales'
Athleisure,Wrangler,Kurta,XL,Black,Winter,Medium,Medium,Low,Teen,High,'High Sales'
Tops,'Calvin Klein',T-Shirt,XXL,Pink,Winter,Medium,Medium,Medium,Teen,Low,'High Sales'
Bottoms,Adidas,Blazer,XXL,Blue,Summer,Medium,High,Medium,Elder,High,'High Sales'
Athleisure,'Under Armour',Palazzo,S,Pink,All-Season,Medium,High,High,Senior,Low,'High Sales'
Outerwear,Puma,Blazer,XL,Black,All-Season,Medium,Medium,High,Senior,Medium,'High Sales'
Bottoms,Levi’s,'Formal Shirt',M,White,Winter,Medium,High,Medium,Elder,High,'High Sales'
Athleisure,Diesel,Kurta,XXL,Green,All-Season,Low,High,High,Elder,Low,'High Sales'
Athleisure,'Calvin Klein','Polo Shirt',XL,Purple,Winter,Medium,High,High,Senior,High,'High Sales'
Athleisure,Uniqlo,Leggings,XL,Pink,Winter,Medium,High,High,Adult,High,'High Sales'
Athleisure,'Calvin Klein',Tops,XL,Pink,All-Season,Medium,Medium,Medium,Teen,Medium,'High Sales'
Outerwear,Diesel,Shorts,S,Purple,Summer,Medium,Medium,High,Elder,Low,'High Sales'
'Traditional Wear',Balenciaga,Trousers,M,Yellow,Summer,Medium,Medium,Medium,Elder,Medium,'High Sales'
Bottoms,Nike,'Track Pants',XXL,Yellow,All-Season,Medium,Medium,Low,Senior,High,'High Sales'
Bottoms,Levi’s,Palazzo,L,Blue,Winter,Medium,High,Medium,Senior,Medium,'High Sales'
Tops,Nike,Sweatshirt,XL,Red,Summer,Medium,High,Medium,Senior,Low,'High Sales'
Athleisure,Levi’s,Trousers,M,Orange,Winter,Low,Medium,High,Elder,Medium,'High Sales'
Tops,GAP,'Casual Shirt',M,Green,Winter,Medium,Medium,Medium,Senior,Low,'High Sales'
Bottoms,Levi’s,Hoodie,L,White,Summer,Medium,Medium,Low,Elder,Low,'High Sales'
Tops,'Calvin Klein',Dress,S,Black,All-Season,Medium,High,Medium,Elder,Low,'High Sales'
'Traditional Wear','Louis Vuitton',Jacket,M,Red,Winter,Low,High,High,Elder,Medium,'High Sales'
Tops,'Under Armour',Dress,S,White,All-Season,Medium,High,High,Senior,Medium,'High Sales'
'Traditional Wear',Levi’s,'Polo Shirt',M,White,All-Season,Medium,Medium,Medium,Adult,High,'High Sales'
Athleisure,Adidas,Skirt,L,Blue,Winter,Medium,Medium,Medium,Senior,Low,'High Sales'
Tops,Adidas,'Track Pants',S,Purple,All-Season,Medium,High,High,Senior,Medium,'High Sales'
Outerwear,Diesel,Palazzo,XL,Red,All-Season,Medium,Medium,Low,Teen,Medium,'High Sales'
Athleisure,Levi’s,Leggings,L,White,Summer,Medium,Medium,Low,Adult,Low,'High Sales'
'Traditional Wear',Uniqlo,Jacket,L,Yellow,Summer,Medium,High,Low,Teen,Low,'High Sales'
Bottoms,'Calvin Klein',Hoodie,S,Purple,Winter,Low,Medium,Medium,Adult,High,'High Sales'
Outerwear,Adidas,Trousers,L,Purple,All-Season,Medium,Medium,Medium,Teen,Medium,'High Sales'
Bottoms,Gucci,Blazer,M,Orange,Winter,Medium,High,Low,Teen,Low,'High Sales'
Outerwear,Nike,Jeans,L,Yellow,Winter,Medium,Medium,Low,Elder,High,'High Sales'
Bottoms,Nike,Jacket,XL,Purple,Summer,Medium,High,Medium,Elder,High,'High Sales'
Bottoms,'Calvin Klein',Saree,S,Pink,All-Season,Medium,High,Medium,Elder,High,'High Sales'
Tops,GAP,Skirt,S,Black,Summer,Medium,Medium,Medium,Adult,Low,'High Sales'
'Traditional Wear','Forever 21',T-Shirt,M,White,Summer,High,High,High,Elder,Medium,'High Sales'
'Traditional Wear',Versace,'Formal Shirt',S,Green,All-Season,Medium,High,Low,Senior,High,'High Sales'
Outerwear,Versace,Saree,M,Black,Winter,Medium,Medium,High,Senior,Medium,'High Sales'
Athleisure,'Calvin Klein',Blazer,L,Black,Winter,Medium,Medium,Medium,Senior,Low,'High Sales'
Athleisure,Diesel,'Formal Shirt',XL,Pink,Summer,Medium,High,High,Elder,High,'High Sales'
Athleisure,'Under Armour',Jumpsuit,M,Black,Winter,Medium,High,Low,Adult,Low,'High Sales'
Tops,'Louis Vuitton',Shorts,M,Blue,All-Season,Medium,High,Medium,Senior,Low,'High Sales'
Tops,Diesel,'Casual Shirt',M,Black,All-Season,Medium,Medium,Medium,Teen,Low,'High Sales'
'Traditional Wear',Levi’s,Hoodie,L,Blue,Winter,Medium,Medium,Medium,Elder,High,'High Sales'
Athleisure,H&M,Skirt,L,Black,Summer,Medium,Medium,Medium,Adult,High,'High Sales'
Bottoms,Levi’s,Palazzo,L,Blue,Winter,Medium,High,Medium,Senior,Medium,'High Sales'
Tops,Gucci,Kurta,L,Blue,Winter,Low,High,Low,Adult,Low,'High Sales'
'Traditional Wear',Gucci,Sweatshirt,XL,White,Winter,Medium,Medium,Medium,Senior,Low,'High Sales'
Outerwear,Balenciaga,'Formal Shirt',XXL,Orange,All-Season,Medium,Medium,High,Teen,Low,'High Sales'
Tops,'Under Armour','Track Pants',L,Pink,Winter,Medium,High,Low,Elder,Medium,'High Sales'
Bottoms,H&M,Trousers,L,White,All-Season,High,High,Medium,Senior,Medium,'High Sales'
Athleisure,Zara,Sweatshirt,XL,Blue,All-Season,Medium,Medium,High,Elder,Medium,'High Sales'
Bottoms,Gucci,Shorts,L,Pink,Summer,Medium,Medium,High,Teen,Low,'High Sales'
'Traditional Wear',H&M,Jacket,XXL,Yellow,Winter,Medium,Medium,Medium,Senior,Medium,'High Sales'
Athleisure,'Louis Vuitton',T-Shirt,XXL,Black,Summer,Medium,High,Low,Adult,High,'High Sales'
Tops,Balenciaga,Jeans,S,Blue,Summer,Medium,High,Medium,Adult,Medium,'High Sales'
'Traditional Wear','Louis Vuitton',Blazer,XL,Blue,Winter,Medium,Medium,Medium,Adult,Medium,'High Sales'
Bottoms,Zara,Dress,S,Red,Summer,Medium,High,Low,Adult,High,'High Sales'
Outerwear,'Louis Vuitton',Hoodie,S,Yellow,All-Season,Medium,High,High,Teen,Medium,'High Sales'
'Traditional Wear',Uniqlo,Hoodie,S,Purple,Summer,Medium,Medium,Medium,Teen,Medium,'High Sales'
Athleisure,'Forever 21',Blazer,XXL,Blue,Summer,High,Medium,Medium,Elder,Low,'High Sales'
Athleisure,H&M,Kurta,M,Blue,Winter,Medium,High,High,Senior,Low,'High Sales'
Bottoms,H&M,'Track Pants',XL,White,Summer,Medium,Medium,High,Senior,High,'High Sales'
Athleisure,'Ralph Lauren',T-Shirt,XXL,Pink,Winter,Medium,Medium,High,Adult,Medium,'High Sales'
Outerwear,'Louis Vuitton',Shorts,S,Green,All-Season,Medium,High,Medium,Teen,High,'High Sales'
'Traditional Wear',Gucci,Palazzo,XXL,Black,Winter,Medium,Medium,Medium,Senior,Low,'High Sales'
Outerwear,Diesel,Sweatshirt,L,Yellow,All-Season,Medium,High,Low,Teen,Low,'High Sales'
'Traditional Wear','Ralph Lauren',Kurta,L,Green,Summer,Medium,Medium,Medium,Adult,Low,'High Sales'
Tops,GAP,Sweatshirt,S,Blue,Winter,Medium,Medium,Low,Teen,Medium,'High Sales'
'Traditional Wear','Tommy Hilfiger','Track Pants',XL,Orange,Summer,Medium,Medium,Medium,Teen,Medium,'High Sales'
Tops,Reebok,Kurta,M,Purple,Summer,Medium,Medium,High,Elder,High,'High Sales'
Tops,H&M,T-Shirt,M,Yellow,All-Season,Medium,High,Medium,Elder,High,'High Sales'
Tops,Reebok,'Casual Shirt',M,Yellow,Summer,Medium,Medium,Medium,Adult,High,'High Sales'
Bottoms,Versace,'Formal Shirt',S,Red,All-Season,Low,High,High,Senior,Medium,'High Sales'
'Traditional Wear',Versace,Skirt,S,Purple,Summer,Medium,High,Medium,Adult,Medium,'High Sales'
Outerwear,Diesel,'Track Pants',S,Red,Winter,Medium,High,High,Senior,Medium,'High Sales'
Tops,'Louis Vuitton',Jumpsuit,L,Red,Winter,Medium,High,Low,Senior,Medium,'High Sales'
Bottoms,'Calvin Klein',Jeans,M,Purple,Winter,Medium,Medium,High,Elder,Low,'High Sales'
Athleisure,Reebok,Palazzo,M,Blue,Winter,Medium,Medium,High,Senior,Medium,'High Sales'
Athleisure,'Under Armour',Saree,M,Purple,All-Season,Medium,Medium,Medium,Senior,High,'High Sales'
Bottoms,Zara,Trousers,M,Yellow,Summer,Medium,High,Low,Adult,Medium,'High Sales'
Tops,Adidas,Jumpsuit,XL,Red,All-Season,Medium,Medium,Medium,Senior,Medium,'High Sales'
Bottoms,'Calvin Klein',Kurta,L,Green,Summer,Medium,High,Medium,Teen,Low,'High Sales'
Bottoms,GAP,Dress,XL,Blue,Summer,Medium,High,Medium,Adult,Low,'High Sales'
Bottoms,Versace,Leggings,L,Pink,Summer,Medium,High,Medium,Senior,Medium,'High Sales'
'Traditional Wear','Under Armour',Kurta,S,Orange,Winter,Low,Medium,High,Teen,High,'High Sales'
'Traditional Wear',Uniqlo,'Casual Shirt',M,Red,Winter,Medium,Medium,Low,Senior,Low,'High Sales'
'Traditional Wear',Uniqlo,Sweatshirt,S,Blue,Winter,Medium,High,Medium,Teen,Low,'High Sales'
Outerwear,Versace,Hoodie,S,White,Summer,Medium,Medium,Low,Elder,Low,'High Sales'
'Traditional Wear','Calvin Klein',Hoodie,XXL,Black,Winter,Medium,Medium,Low,Elder,Medium,'High Sales'
Tops,Balenciaga,Jeans,S,Blue,Summer,Medium,High,Medium,Adult,Medium,'High Sales'
Outerwear,Zara,Blazer,XXL,Orange,Summer,High,High,Medium,Teen,Medium,'High Sales'
Outerwear,H&M,Hoodie,XL,Pink,Winter,Medium,Medium,High,Teen,High,'High Sales'
Athleisure,'Forever 21','Polo Shirt',M,Pink,All-Season,Medium,Medium,High,Elder,Low,'High Sales'
Athleisure,Nike,Hoodie,XL,Pink,Summer,Medium,Medium,High,Teen,Medium,'High Sales'
'Traditional Wear',Uniqlo,Sweatshirt,S,Green,Winter,Medium,Medium,Low,Elder,High,'High Sales'
Tops,'Forever 21','Formal Shirt',M,Red,Winter,Medium,Medium,Low,Adult,Medium,'High Sales'
Outerwear,Versace,Shorts,XL,Pink,Summer,Medium,High,Medium,Senior,High,'High Sales'
'Traditional Wear','Ralph Lauren',Jacket,S,Green,Winter,Low,Medium,Low,Adult,Medium,'High Sales'
Bottoms,Wrangler,'Formal Shirt',XL,White,All-Season,Medium,Medium,Medium,Adult,Medium,'High Sales'
Tops,'Ralph Lauren',Dress,XXL,Red,All-Season,Medium,High,High,Teen,High,'High Sales'
Outerwear,Reebok,'Track Pants',XL,Orange,All-Season,Low,High,High,Elder,Low,'High Sales'
Tops,Levi’s,Shorts,XXL,Black,All-Season,Medium,Medium,High,Adult,Low,'High Sales'
Bottoms,'Tommy Hilfiger',Saree,M,Blue,All-Season,Medium,Medium,Low,Teen,Medium,'High Sales'
Bottoms,H&M,Sweatshirt,M,Yellow,Winter,Medium,Medium,High,Senior,Low,'High Sales'
Athleisure,Wrangler,Tops,M,Green,Summer,Medium,High,Low,Senior,High,'High Sales'
Outerwear,Levi’s,Palazzo,M,Black,Winter,Medium,Medium,High,Elder,Low,'High Sales'
Tops,'Forever 21',Trousers,XL,Blue,Summer,Medium,Medium,Low,Senior,High,'High Sales'
Bottoms,Gucci,'Track Pants',L,Yellow,Winter,Medium,High,High,Senior,Low,'High Sales'
'Traditional Wear',Versace,'Polo Shirt',L,Orange,Winter,Medium,High,High,Adult,Medium,'High Sales'
Bottoms,Levi’s,Jacket,XXL,Green,Winter,Medium,Medium,High,Adult,Low,'High Sales'
Outerwear,'Louis Vuitton',Blazer,S,Purple,Winter,Medium,High,High,Teen,High,'High Sales'
Bottoms,H&M,Trousers,XL,Orange,Winter,Medium,High,Low,Elder,High,'High Sales'
Outerwear,Wrangler,Tops,M,Orange,Winter,Medium,High,High,Elder,Medium,'High Sales'
Tops,'Louis Vuitton',Jumpsuit,XXL,Pink,Summer,Medium,High,High,Elder,High,'High Sales'
